position,link,title,source,date,snippet,thumbnail
1,https://www.pbs.org/newshour/economy/a-timeline-of-trumps-tariff-actions-so-far,A timeline of Trump’s tariff actions so far,PBS,"Apr 3, 2025","Long-threatened tariffs from U.S. President Donald Trump have plunged the country into trade wars abroad — all while on-again, off-again new levies continue to...",https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbbb2438ca3ff58ccde48bd158cc3bfdb8d36d5f75e517e343c.jpeg
2,https://www.whitecase.com/insight-alert/president-trump-orders-10-global-tariff-and-higher-reciprocal-tariffs,President Trump Orders 10% Global Tariff and Higher “Reciprocal” Tariffs,White & Case LLP,"Apr 4, 2025","On April 2, 2025, President Trump issued the long-anticipated “reciprocal tariff” order, imposing tariffs on most US trade partners.",https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbbbcce360b280430351ce1e97ca25b0f0e39b4db7242f96aa9.jpeg
3,https://www.skadden.com/insights/publications/2025/04/trump-administrations-first-100-days/the-tariff-revolution,The Tariff Revolution,"Skadden, Arps, Slate, Meagher & Flom LLP","Apr 30, 2025","The Tariff Revolution · President Trump's new tariff regime has applied new, substantial tariffs to imports from every country on the globe. · The rollout of...",https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbb4e45c279b1d53fac7fe480cf0e9c77d540126ea6d4f7d2c9.jpeg
4,https://www.commerce.wa.gov/commerce-launches-online-tariff-information-and-resource-guide/,Commerce launches online Tariff Information and Resource Guide,Washington State Department of Commerce (.gov),"Apr 10, 2025",This online hub will help Washington businesses and workers navigate evolving tariff realities and their local impacts.,https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbb8763f20d3c6cb93622a4be8b8e776222d35467183f00bb0f.jpeg
5,https://rooseveltinstitute.org/publications/trump-admin-tariffs/,Trump’s Tariff Tantrum: How Sweeping Tariffs Came to Be and Why It Matters,The Roosevelt Institute,"Apr 3, 2025",The Basics: Arbitrary Faux “Reciprocal” Tariffs. Trump's April 2 executive order came with the unwieldy title “Regulating Imports with a Reciprocal Tariff to...,https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbb7e7864781a023b0f303dd2c2b448137aefc181b1c82d76fa.jpeg
6,https://budgetlab.yale.edu/research/where-we-stand-fiscal-economic-and-distributional-effects-all-us-tariffs-enacted-2025-through-april,"Where We Stand: The Fiscal, Economic, and Distributional Effects of All U.S. Tariffs Enacted in 2025 Through April 2",The Budget Lab at Yale,"Apr 2, 2025","This analysis presents the fiscal and economic effects of both 1) the April 2nd policy, without considering the other tariffs that have gone into effect so far...",https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbb96e94c76190863bf699d1390bd8dc90c36e1e6c609cbc26e.jpeg
7,https://www.npr.org/2025/04/02/nx-s1-5345802/trump-tariffs-liberation-day,Trump unveils sweeping 10% tariff and 'reciprocal' tariffs on dozens of nations,NPR,"Apr 2, 2025","President Trump announces ""reciprocal tariffs"" during...",https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbb282476912c1130352f2875f0617faf24da1c08617e6a4abf.jpeg
8,https://www.csis.org/analysis/liberation-day-tariffs-explained,“Liberation Day” Tariffs Explained,CSIS | Center for Strategic and International Studies,"Apr 3, 2025","Structure of “Liberation Day” Tariffs: One Tariff For All, Another For Serial Offenders. The April 2 announcement contained two distinct tariff actions. First,...",https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbb6c98eea8f3686af9a37f37dee6338c64aab2003ea6448d2e.jpeg
9,https://www.americanprogress.org/article/what-will-trumps-tariffs-do-for-u-s-consumers-workers-and-businesses/,"What Will Trump’s Tariffs Do for U.S. Consumers, Workers, and Businesses?",Center for American Progress,"Apr 1, 2025","What Will Trump's Tariffs Do for U.S. Consumers, Workers, and Businesses? Trump's tariffs could cost American households $5,200 annually, but they are unlikely...",https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbb97aa2a3046db13d209b7f9b4a9ee17d1933221a0c027635f.jpeg
10,https://www.theguardian.com/business/2025/apr/03/trumps-tariffs-the-full-list,Trump’s tariffs: the full list,The Guardian,"Apr 3, 2025","US president Donald Trump yesterday produced a chart of all the new tariffs he was announcing, affecting trade with countries across the world.",https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbb9943e07c9cfcaec8f6f5868b9ad5d0fbee2c13bdaf5c209a.jpeg
11,https://www.supplychaindive.com/news/trump-tariffs-china-increase-125-percent/744910/,"Trump pauses most reciprocal tariffs, hikes China’s further",Supply Chain Dive,"Apr 9, 2025","Trump pauses most reciprocal tariffs, hikes China's further. The U.S. will now charge a 125% duty on imports from China, while most other countries will be...",https://serpapi.com/searches/688ca4ddb6a86763c529688b/images/5b881bc19ab8bcbb0dbb066d4fa42efed6f152f74499d8e21a7a41dbcf7b4279.jpeg
