position,link,title,source,date,snippet,thumbnail
1,https://www.whitehouse.gov/presidential-actions/2025/07/further-modifying-the-reciprocal-tariff-rates/,FURTHER MODIFYING THE RECIPROCAL TARIFF RATES,The White House (.gov),12 hours ago,"By the authority vested in me as President by the Constitution and the laws of the United States of America, including the International Emergency.",https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa59f4d7742fb630446694041693f748c3cbbc202e647c3158a.png
2,https://www.cnn.com/2025/07/07/economy/trump-letters-tariffs,Trump announces new tariffs of up to 40% on a growing number of countries,CNN,3 weeks ago,"Both countries will face a 25% tariff come August 1, according to the letters, but both nations said on Tuesday they plan to engage in further talks with the US...",https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa5ca668969e75a6ebee3f0a2795ecc18b507d6d2981c92ccea.jpeg
3,https://www.reuters.com/world/tariffs-live-updates-trumps-august-1-deadline-2025-07-31/,"Trump tariffs live: US sets rates for Canada, Switzerland, India and others as August 1 deadline expires",Reuters,LIVE20 minutes ago,President Donald Trump's August 1 deadline for making deals expires after the White House announced steep new tariff rates for dozens of countries.,https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa5f67f875648bfb0cbf613aa270ea582524fc71e5cf2b291d3.jpeg
4,https://www.nytimes.com/live/2025/07/31/business/tariffs-trump-trade,Trump Unveils New Tariffs For Much of the World to Take Effect on Aug. 7: Live Updates,The New York Times,LIVE11 minutes ago,Stocks fell around the world after President Trump's latest move to remake the global trading system. His executive order set new tariffs on imports from...,https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa52b0079e191175ed151ead021d5d7ae959e515ac9d2165521.jpeg
5,https://www.cbsnews.com/news/howard-lutnick-tariff-deals-trump-jerome-powell-face-the-nation/,"Commerce Secretary Lutnick says next two weeks will be ""for the record books"" as Trump presses for tariff deals",CBS News,2 weeks ago,"Aug. 1 is a ""hard deadline"" for tariffs, Lutnick says. Mr. Trump penned this month's tariff letters after threatening a similar slate of tariffs on dozens of...",https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa5cb1f47062fb2efb693d3ba1f835ccf1851dd903a6c6e2c67.jpeg
6,https://www.esd.ny.gov/tariff-resource-guide,Tariff Resource Guide,Empire State Development (ESD) (.gov),2 days ago,Empire State Development has compiled resources to inform New York State companies about tariffs and tools that may help reduce possible impacts. Note: ESD aims...,https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa5f329c881702c662988f886702d64782629b56cc35c3a059c.jpeg
7,https://www.nbcnews.com/politics/trump-administration/live-blog/trump-trade-tariff-deadline-canada-russia-gaza-immigration-live-update-rcna221299,Live updates: Trump to hit some countries with higher tariff rates; Steve Witkoff and Mike Huckabee to visit Gaza,NBC News,LIVE2 hours ago,President Donald Trump announced that he would delay tariffs on Mexico for another 90 days as the two countries try to work out a trade agreement.,https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa536d64531ef42e8b8aa53314145b0803ab0934cfb749d4f07.jpeg
8,https://abcnews.go.com/Business/trumps-aug-1-tariff-deadline/story?id=123921765,What to know about Trump's Aug. 1 tariff deadline,ABC News,1 week ago,What to know about Trump's Aug. 1 tariff deadline. Tariffs as high as 50% will hit goods from dozens of countries. ... President Donald Trump is set to slap...,https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa5752cdff4e27268644c5bd00a9b936d4fa1331e4a90b92285.jpeg
9,https://www.bbc.com/news/live/cpqvdxzwv22t,Trump raises tariffs on more than 90 countries as Canada's Carney 'disappointed' by 35% levy,BBC,LIVE1 hour ago,Stock markets in Europe drop after new tariffs hit countries that failed to negotiate a trade deal ahead of today's deadline.,https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa5d8c1dd2b02963fae791ee3a058c9b7b2a7c8d6a5f99e1160.jpeg
10,https://www.npr.org/2025/07/31/nx-s1-5482859/trump-tariff-rates-executive-order,The White House sets a swath of new tariff rates — and a new date — for dozens of countries,NPR,11 hours ago,"An executive order says most of the tariffs will not take effect for at least a week, despite an earlier assertion that new rates would take effect on...",https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa53c127ae09df3ca5df9219a6a46530bf92c98947f612a3a0c.jpeg
11,https://www.cnbc.com/2025/08/01/trumps-tariffs-rekindle-global-trade-tensions.html,Trump unleashes sweeping new tariffs in a blow to global trade,CNBC,LIVE7 minutes ago,"Trump's extensive new tariff regime on swathes of U.S. partners have reignited trade tensions, sending shock waves through markets.",https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa52c3c36dfa64c5b021b8f42042d8a7f859db836d796612bc7.jpeg
12,https://www.politico.com/news/2025/07/28/trump-tariffs-trade-unclear-eu-japan-00480793,Trump got his tariff hike. The rest remains murky.,Politico,3 days ago,"President Donald Trump is taking a victory lap on his trade agenda after reaching deals with the EU and Japan, but it's not clear how much countries have...",https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa56f57bd55812bbf618bb9d25701cb676dacd2b1646d674c54.jpeg
13,https://www.aljazeera.com/news/2025/7/8/trumps-new-tariffs-who-is-hit-whats-next-how-is-the-world-responding-2,"Trump’s new tariffs: Who is hit, what’s next, how is the world responding?",Al Jazeera,3 weeks ago,"The pause was originally scheduled to end on Wednesday, July 9, for the “Liberation Day” tariffs he initially announced on April 2. However, Trump imposed a 90-...",https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa508b08798c8348246c2473aa34a3eac9d1ec78124cdc0c288.jpeg
14,https://www.whitehouse.gov/presidential-actions/2025/07/extending-the-modification-of-the-reciprocal-tariff-rates/,EXTENDING THE MODIFICATION OF THE RECIPROCAL TARIFF RATES,The White House (.gov),3 weeks ago,"The Harmonized Tariff Schedule of the United States (HTSUS) shall be modified, effective with respect to goods entered for consumption, or withdrawn from...",https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa57495e07e77705070c5e324ea1bf03d8e8e52d26a3fabecf6.png
15,https://www.cnn.com/2025/07/22/business/tariffs-on-canada-home-building-cost,"Canada tariffs could add $14,000 to the cost of building a home by 2027, report warns",CNN,1 week ago,"Taking into account tariffs first imposed during Trump's first term, the total added cost from tariffs could reach $20,000 per home by 2027, the Canadian...",https://serpapi.com/searches/688ca40f868180f38eb4a260/images/d7e71efb23d03fa5d4e8176fe09d91875b81635f194afbab19b031dfa994b17f.jpeg
