position,link,title,source,date,snippet,thumbnail
1,https://abc7.com/post/walmart-says-will-raise-prices-due-tariff-costs-posting-solid-first-quarter-sales/16423884/,Walmart says it will raise prices due to tariff costs after posting solid first quarter sales,ABC7 Los Angeles,"May 15, 2025",Walmart says it will raise prices due to tariff costs after posting solid first quarter sales ... Walmart's first quarter profit slipped and it said it must raise...,https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8ca465ddad2f19427b4c46cc6e39f554a404843b1ba79aafe48.jpeg
2,https://budgetlab.yale.edu/research/state-us-tariffs-may-23-2025,"State of U.S. Tariffs: May 23, 2025",The Budget Lab at Yale,"May 23, 2025",The 2025 tariffs to date are the equivalent of a 19.5 percentage point increase in the US average effective tariff rate.,https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8ca2b4653324f4da7159149b645207d068972ef00ce3bcebc53.jpeg
3,https://www.cfr.org/article/tariff-costs-are-worse-you-think,The Tariff Costs Are Worse Than You Think,Council on Foreign Relations,"May 23, 2025","US companies and consumers will face significant tariffs, compliance costs, and uncertainty without a more significant pivot from the Trump administration.",https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8ca8f80de7535e2aefc4145e309fec72b8a2e49254f8e1de16d.jpeg
4,https://www.aamc.org/news/health-care-sector-braces-supply-chain-uncertainty-changing-tariff-policies,Health care sector braces for supply chain uncertainty with changing tariff policies,AAMC,"May 29, 2025","As tariffs threaten to raise prices, health care leaders push for tariff exemptions and transparency from manufacturers.",https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8ca91caa285d042936e4ff6a06a3fb52bd016a5aa85453dfec8.jpeg
5,https://tax.thomsonreuters.com/blog/trumps-tariff-plan-faqs-for-global-trade-professionals-tri/,Trump’s tariff plan: FAQs for global trade professionals,Thomson Reuters tax and accounting,"May 15, 2025","President Trump's tariff plan involves using tariffs as an economic tool to re-shore manufacturing, recalibrate the trade balance, and, ultimately, rake in...",https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8cad0f2c3f93ee74633092361844f7b4becb459c31aca6a9cc7.jpeg
6,https://www.npr.org/2025/05/23/nx-s1-5408573/trump-tariffs-eu-apple-iphones,Trump threatens steep tariffs on trade with the European Union — and on iPhones,NPR,"May 23, 2025","The president has long complained about EU trade barriers, VAT taxes, monetary policy and lawsuits against American companies — and says he thinks it is unfair...",https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8ca9b8af84fa1094185dabd3bf07fe493d2137072ee696e955c.jpeg
7,https://apnews.com/article/trump-tariff-england-trade-war-e8300b457256d4c23d64928c09ce2b63,Trump’s tariffs have launched global trade wars. Here’s a timeline of how we got here,AP News,"May 8, 2025","Long-threatened tariffs from U.S. President Donald Trump have plunged the country into trade wars abroad — all while on-again, off-again new levies continue to...",https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8ca147c2b1f87f71895a4ac2ce385531f2d9bd4c5dd091f7493.jpeg
8,https://www.reuters.com/world/china/trumps-tariff-blitz-yields-deals-misses-global-trade-fix-2025-05-13/,Trump's tariff blitz yields deals but misses global trade fix,Reuters,"May 13, 2025","Donald Trump's tariff blitz is yielding some initial deals, including a 90-day pause in sky-high US and Chinese duties and a limited trade pact with Britain.",https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8ca80f6d402ecd73408097c83bfd00ae3c317f717f62f8035e2.jpeg
9,https://www.pbs.org/newshour/economy/analysis-trumps-truce-with-china-on-tariffs-comes-at-a-cost-to-u-s-credibility,Analysis: Trump’s truce with China on tariffs comes at a cost to U.S. credibility,PBS,"May 18, 2025",The trade talks in Geneva between the United States and China yielded greater-than-expected de-escalation in the ongoing trade war.,https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8caa4572dfee41207f6b80d6d6cab3c925bd139a1cc7fc15d31.jpeg
10,https://iatse.net/iatse-on-president-trump-movie-tariff-announcement-u-s-needs-balanced-federal-response-to-return-film-and-tv-jobs/,IATSE on President Trump Movie Tariff Announcement: ‘U.S. Needs Balanced Federal Response to Return Film and TV Jobs’,iatse,"May 5, 2025","IATSE continues to pursue all policy measures that can be implemented to return and maintain US film and television jobs, while not disadvantaging our Canadian...",https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8cae98a835a248d3d06f8e5aeb8e18250298729279ecd01e2d5.jpeg
11,https://calmatters.org/economy/2025/05/tariffs-california-ports/,Trump trade war has already had huge effect on California ports,CalMatters,"May 28, 2025","California's port traffic is beginning to look worse now, under the effects of President Donald Trump's fickle tariff policy, than it did at the height of the...",https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8caea0261f115022128799be3c07154f2059635034ef8841622.jpeg
12,https://www.bbc.com/news/articles/c89p8d574d4o,What does court ruling mean for Trump's tariff agenda?,BBC,"May 29, 2025","The court ruled IEEPA did not give the president the authority to impose certain tariffs. This affects the ""fentanyl"" tariffs imposed by the White House on...",https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8caccd03b8f222dc48877963786d42aad44ea7b374d2b511c88.jpeg
13,https://www.wsj.com/opinion/u-s-china-trade-deal-tariffs-donald-trump-xi-jinping-a561d16b?gaa_at=eafs&gaa_n=ASWzDAgNghtjh1JzwQpU5X4-Ic1wiGINEkmuPvo2xGKYyNnD05LNXt8x7WtS&gaa_ts=688ca819&gaa_sig=P8fPRZOviJYn4e4UtlwqZ8iE4GxxQLuJaJ2oBP2Drpa2i2VqbVdwT5b7JbUeMMg0aq1q0VFv843UhMr1OgfkBg%3D%3D,Opinion | The Great Trump Tariff Rollback,The Wall Street Journal,"May 12, 2025",The Administration agreed to scrap most of the 145% tariff Mr. Trump imposed on Chinese goods on April 2 and later. What remains is his new 10% global base-...,https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8cae69ca8170784bed75093f310c369b2b5504039d1b45b3cfc.jpeg
14,https://www.supplychaindive.com/news/us-china-trade-agreement-tariff-pause/747721/,"US, China agree to reduce tariff rates for 90 days",Supply Chain Dive,"May 12, 2025","As part of the agreement, the U.S. will pause for 90 days the 34% tariff on imports from China that President Donald Trump first announced April 2. The U.S....",https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8ca9e6fd6de4fb904ef6f5ee40c805bc17562a957477f8b231f.jpeg
15,https://www.politico.com/news/2025/05/25/trump-grants-extension-to-european-union-on-tariff-hike-00369759,Trump grants extension to European Union on tariff hike,Politico,"May 25, 2025",Trump grants extension to European Union on tariff hike. The new date is July 9. A European flag flies at half-mast. ... President Donald Trump announced Sunday...,https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8ca91d88cc6580837081a9d3acce2ef51768abe2630fd1c2263.jpeg
16,https://budgetlab.yale.edu/research/state-us-tariffs-may-12-2025,"State of U.S. Tariffs: May 12, 2025",The Budget Lab at Yale,"May 12, 2025",The 2025 tariffs to date are the equivalent of a 15.4 percentage point increase in the US average effective tariff rate.,https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8ca520e9e69cf03cbbd1df1f130ffc4925905a2627f6242e70e.jpeg
17,https://www.pbs.org/newshour/nation/economists-say-trumps-tariffs-are-unpredictable-and-still-working-their-way-through-the-system,Economists say Trump’s tariffs are unpredictable and still working their way through the system,PBS,"May 19, 2025",Trump's tariffs are still huge – the highest since the Great Depression of the 1930s. They're unpredictable: The president frequently announces tariffs only to...,https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8cabe56c78712c9f5ecb3de25ee677b13381d741bbb09391ce2.jpeg
18,https://budgetlab.yale.edu/research/state-us-tariffs-may-29-2025,"State of U.S. Tariffs: May 29, 2025",The Budget Lab at Yale,"May 29, 2025","The 2025 tariffs are a 4.6 percentage point increase in the US average effective tariff rate, which brings the overall US effective tariff rate to 7.0%, also...",https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8cadc9877e871e2ad608f21d630451b3796b081e503bbbb56ca.jpeg
19,https://www.reuters.com/business/us-ruling-that-trump-tariffs-are-unlawful-stirs-relief-uncertainty-2025-05-29/,Trump's tariffs to remain in effect after appeals court grants stay,Reuters,"May 30, 2025",A federal appeals court temporarily reinstated the most sweeping of President Donald Trump's tariffs on Thursday.,https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8caacc9a468047ae4b0956b21b90bdb27d10e1611ec4089df16.jpeg
20,https://apnews.com/article/donald-trump-trade-tariffs-european-union-f335ba9aa9d0b36cfe483f6f045c9b01,Trump says he’ll delay a threatened 50% tariff on the European Union until July,AP News,"May 25, 2025",Trump says he'll delay a threatened 50% tariff on the European Union until July ... President Donald Trump said Sunday that the U.S. would delay implementation of...,https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8ca7e4d22d2f91d904dc6f0bb76f29868a5c62c44c946113278.jpeg
21,https://www.pbs.org/newshour/arts/trump-threatens-100-percent-tariff-on-foreign-made-films-saying-domestic-movie-industry-is-dying,"Trump threatens 100 percent tariff on foreign-made films, saying domestic movie industry is dying",PBS,"May 5, 2025",Trump said he has authorized the Department of Commerce and the Office of the US Trade Representative to slap a 100 percent tariff “on any and all Movies...,https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8ca516dfca0cdec8783cff9bdd6abd36eb3ff10ae9575f10f37.jpeg
22,https://www.npr.org/2025/05/22/nx-s1-5395814/trump-tariffs-strategy,How Trump made a 30% tariff feel like a relief,NPR,"May 22, 2025","when Trump lowered those tariffs to 30% last week, Reiner, the CEO of Gowanus Kitchen Lab, said he felt relief — but only some...",https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8ca636417ea97e4702e89e83234aa50f7db7b1d34137ac39279.jpeg
23,https://www.nbcnews.com/business/business-news/trump-tariffs-court-ruling-which-tariffs-are-still-in-place-rcna209738,"Here are the Trump tariffs that were struck down — then reinstated, for now",NBC News,"May 29, 2025","Here are the Trump tariffs that were struck down — then reinstated, for now ... A federal court allowed the president's import taxes to continue while the appeal...",https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8cabc5ea4a2a438df33bba10daa3042bb01cea7a618e66d1c07.jpeg
24,https://www.reuters.com/world/europe/us-britain-expected-announce-tariff-deal-thursday-2025-05-08/,"Trump, Starmer hail limited US-UK trade deal, but 10% duties remain",Reuters,"May 9, 2025","The ""general terms"" agreement is the first of dozens of tariff-lowering deals that Trump expects to land.",https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8ca879a31d364617738720f30fbafb1b3fa6ea5f50baa9ebd90.jpeg
25,https://abcnews.go.com/Business/trumps-proposed-movie-tariff-hollywood-moviegoers/story?id=121484456,"What Trump's latest tariff proposal could mean for Hollywood, moviegoers",ABC News,"May 5, 2025","What Trump's latest tariff proposal could mean for Hollywood, moviegoers. Trump proposed a 100% tariff on films produced abroad on Sunday. ByMax Zahn. May 5,...",https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8ca71c2bb4cfab74cb737cb8f715482dedc063e233757f3aa2a.jpeg
26,https://www.reuters.com/business/trump-extends-deadline-reach-eu-trade-deal-until-july-9-2025-05-25/,"Trump delays EU tariffs until July 9, European markets rally",Reuters,"May 26, 2025","Trump backed away from his threat to impose 50% tariffs on imports from the European Union next month, restoring a July 9 deadline to allow for talks...",https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8ca7f637bae93793c788741cb7740afaea59f6759c362064b87.jpeg
27,https://www.reuters.com/business/media-telecom/trump-announces-100-tariff-movies-produced-outside-us-2025-05-04/,Trump orders 100% tariff on foreign-made movies to save 'dying' Hollywood,Reuters,"May 5, 2025","US President Donald Trump on Sunday announced a 100% tariff on movies produced outside the country, saying the American movie industry was dying a ""very fast...",https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8ca892b5298fdd29ca25d6750b517380c8564a6e45f242334aa.jpeg
28,https://www.brookings.edu/articles/the-impact-of-us-tariffs-on-north-american-auto-manufacturing-and-implications-for-usmca/,The impact of US tariffs on North American auto manufacturing and implications for USMCA,Brookings,"May 13, 2025",The following outlines how Trump's recent tariffs will affect trade and investment across North America with a particular focus on autos.,https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8cacb2ffba12bf56cc8e7d8498df4a8f0b799b676c127e56deb.jpeg
29,https://www.whitecase.com/insight-alert/united-states-and-china-agree-partially-de-escalate-april-tariffs,United States and China Agree to Partially De-escalate April Tariffs,White & Case LLP,"May 14, 2025","The 10% baseline tariff (and a retaliatory 10% tariff by China) will remain in effect, as will all other active tariffs. China will also lift certain non-tariff...",https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8ca0586e6c591bcc0c8665f06812dba43ba5451d6457d08e05b.jpeg
30,https://www.npr.org/2025/05/28/g-s1-69479/federal-trade-court-trump-tariffs-emergency-powers-law,Federal court keeps Trump tariffs in place — for now,NPR,"May 28, 2025",The trade court ruled Wednesday in an opinion by a three-judge panel that a 1977 law called the International Emergency Economic Powers Act does not grant...,https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8caaea5878cd23d4740bd6b52249875cc6189cbcd8b2b73c049.jpeg
31,https://time.com/7289909/trump-tariffs-court-rulings/,What’s Next for Trump’s Tariff Agenda After Back-and-Forth Court Rulings,Time Magazine,"May 29, 2025","The future of Trump's tariffs is still in limbo. The appeals court directed the plaintiffs in the case, a group comprised of U.S. businesses affected by the...",https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8ca7c8de2e8c8de856114171dee18a25e52322760465495fc6b.jpeg
32,https://www.bbc.com/news/articles/c93ywvl7yy5o,"Trump tariffs can stay in place for now, appeals court rules",BBC,"May 29, 2025","Trump tariffs can stay in place for now, appeals court rules ... US President Donald Trump can keep collecting import taxes for now, an appeals court has said, a...",https://serpapi.com/searches/688ca493db99ec075514a85f/images/f02c7ba70135b8cafb77c06358dbcc237c4b39e922741d5ce24eb4273d56e60b.jpeg
